name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Suyusama Colombia,Bird Rock Coffee Roasters,Medium-Light,United States,Colombia,5.58,93,202006,"Cocoa-toned, crisply sweet. Cocoa powder, hazelnut butter, pear, cedar, agave syrup in aroma and cup. Sweet in structure with brisk acidity; velvety mouthfeel. The finish consolidates to notes of hazelnut and pear with undertones of cocoa powder."
Guatemala Vista Al Bosque,Oak & Bond Coffee Company,Medium,United States,Guatemala,5.58,93,202006,"Chocolaty, floral-toned. Dark chocolate, rhododendron-like flowers, hazelnut butter, date, cedar in aroma and cup. Sweet in structure with gentle, round acidity; very full, syrupy mouthfeel. The finish centers around notes of dark chocolate and rhododendron with hints of cedar."
Ethiopia Reko Estate Yirgacheffe,Temple Coffee and Tea,Medium-Light,United States,Ethiopia,5.58,92,201801,"Deep, intense, sweetly perfumy, savory-edged. Dark chocolate, vanilla, dried mango, sandalwood, a hint of dried mint in aroma and cup. Very sweet though also rather drying and tannic in structure; satiny mouthfeel. Resonant, flavor-saturated finish, sweet yet spicy, particularly impressive in the long."
Ethiopia Deri Kochoha,Flight Coffee Co.,Medium-Light,United States,Ethiopia,5.0,93,201901,"Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almond-toned florals."
Colombia Nariño Duende,Paradise Roasters,Medium-Light,United States,Colombia,4.98,93,201711,"Spice-toned, chocolaty. Chocolate-toned malt, date, hazelnut, fresh pipe tobacco, stick cinnamon in aroma and cup. Richly bittersweet in structure; velvety-smooth mouthfeel. The finish is richly chocolate-toned with a hint of cinnamon."
Organic Ethiopia Sidama Natural,Desert Sun Coffee Roasters,Medium-Light,United States,Ethiopia,4.7,92,201810,"Richly chocolaty and fruit-toned. Dark chocolate, dried berries, mesquite, orange zest, narcissus-like flowers in aroma and cup. Deeply sweet structure with balanced acidity; velvety-smooth mouthfeel. The finish is redolent of dark chocolate and dried berries with a hint of mesquite."
Brazil Ouro de Minas Pulped Natural,Corvus Coffee Roasters,Medium-Light,United States,Brazil,4.56,92,201805,"Delicate, sweetly bright and gently lemony. Ripe lemon zest, fresh-cut cedar, carnation, roasted cashew, cocoa in aroma and cup. Roundly and lightly sweet-tart in structure; satiny in mouthfeel. Quietly resonant in the finish: flowers and cedar. "
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,United States,Ethiopia,4.7,92,201711,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long."
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.41,92,201711,"Sweet, spice-toned, pungent. Hazelnut, cocoa, ripe cantaloupe, tangerine zest, a hint of cinnamon in aroma and cup. Complexly structured: very sweet, gently tart, slightly bitterish. Syrupy and full in mouthfeel. Cocoa and tangerine carry into a deep, long finish."
Ethiopia Yirgacheffe,Mystic Monk Coffee,Medium,United States,Ethiopia,4.11,90,201802,"Richly sweet, chocolate-toned. Molasses, baker’s chocolate, lily, cedar, black peppercorn in aroma and cup. Bittersweet structure with round, gentle acidity; velvety-smooth mouthfeel. The finish is thoroughly chocolate-toned, leading with baker’s chocolate in the short complicated by deep florals and aromatic wood, rounding to cocoa powder and molasses in the long."
